track_name,artists,track_genre,popularity,danceability,energy,valence,tempo,popularity_tier,energy_category
Comedy,Gen Hoshino,acoustic,73,0.676,0.461,0.715,87.917,High,Medium Energy
Ghost - Acoustic,Ben Woodward,acoustic,55,0.42,0.166,0.267,77.489,Medium,Low Energy
To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,0.438,0.359,0.12,76.332,Medium,Medium Energy
Can't Help Falling In Love,Kina Grannis,acoustic,71,0.266,0.0596,0.143,181.74,High,Low Energy
Hold On,Chord Overstreet,acoustic,82,0.618,0.443,0.167,119.949,High,Medium Energy
Days I Will Remember,Tyrone Wells,acoustic,58,0.688,0.481,0.666,98.017,Medium,Medium Energy
Say Something,A Great Big World;Christina Aguilera,acoustic,74,0.407,0.147,0.0765,141.284,High,Low Energy
I'm Yours,Jason Mraz,acoustic,80,0.703,0.444,0.712,150.96,High,Medium Energy
Lucky,Jason Mraz;Colbie Caillat,acoustic,74,0.625,0.414,0.669,130.088,High,Medium Energy
Hunger,Ross Copperman,acoustic,56,0.442,0.632,0.196,78.899,Medium,Medium Energy
Give Me Your Forever,Zack Tabudlo,acoustic,74,0.627,0.363,0.301,99.905,High,Medium Energy
I Won't Give Up,Jason Mraz,acoustic,69,0.483,0.303,0.139,133.406,High,Low Energy
Solo,Dan Berk,acoustic,52,0.489,0.314,0.607,124.234,Medium,Low Energy
Bad Liar,Anna Hamilton,acoustic,62,0.691,0.234,0.209,87.103,Medium,Low Energy
Hold On - Remix,Chord Overstreet;Deepend,acoustic,56,0.755,0.78,0.387,120.004,Medium,High Energy
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,58,0.489,0.561,0.238,83.457,Medium,Medium Energy
ily (i love you baby),Andrew Foy;Renee Foy,acoustic,56,0.706,0.112,0.414,110.154,Medium,Low Energy
At My Worst,Andrew Foy;Renee Foy,acoustic,54,0.795,0.0841,0.609,91.803,Medium,Low Energy
Photograph,Boyce Avenue;Bea Miller,acoustic,67,0.717,0.32,0.322,107.946,High,Low Energy
Demons,Boyce Avenue;Jennel Garcia,acoustic,63,0.678,0.351,0.569,90.032,Medium,Medium Energy
Bella Luna,Jason Mraz,acoustic,1,0.755,0.454,0.33,120.06,Low,Medium Energy
Trampoline - Acoustic,Highland Peak,acoustic,46,0.596,0.2,0.308,107.893,Medium,Low Energy
透明だった世界,Motohiro Hata,acoustic,61,0.373,0.914,0.56,168.21,Medium,High Energy
Pieces,Andrew Belle,acoustic,60,0.494,0.652,0.298,137.018,Medium,Medium Energy
A Drop in the Ocean,Ron Pope,acoustic,68,0.447,0.393,0.564,73.139,High,Medium Energy
So Far Away - Acoustic,Adam Christopher,acoustic,52,0.576,0.331,0.407,149.02,Medium,Medium Energy
The Enemy,Andrew Belle,acoustic,62,0.536,0.89,0.273,121.974,Medium,High Energy
Build It Better,Aron Wright,acoustic,51,0.526,0.333,0.159,94.951,Medium,Medium Energy
Gravity,Sara Bareilles,acoustic,67,0.27,0.275,0.231,168.964,High,Low Energy
What's Left of You,Chord Overstreet,acoustic,57,0.731,0.507,0.265,117.969,Medium,Medium Energy
Pano,Zack Tabudlo,acoustic,75,0.375,0.457,0.415,174.839,High,Medium Energy
